goos: linux
goarch: amd64
pkg: github.com/yourusername/bolt/benchmarks
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
BenchmarkFull_Fiber_MiddlewareChain-8        	  105324	     10965 ns/op	    5593 B/op	      23 allocs/op
BenchmarkFull_Fiber_MiddlewareChain-8        	  104743	     11049 ns/op	    5592 B/op	      23 allocs/op
BenchmarkFull_Fiber_MiddlewareChain-8        	  104535	     11401 ns/op	    5594 B/op	      23 allocs/op
BenchmarkFull_Fiber_MiddlewareChain-8        	  113308	     12374 ns/op	    5598 B/op	      23 allocs/op
BenchmarkFull_Bolt_LargeJSON-8               	    5574	    206074 ns/op	    9723 B/op	     102 allocs/op
BenchmarkFull_Bolt_LargeJSON-8               	    5030	    229929 ns/op	    9776 B/op	     102 allocs/op
BenchmarkFull_Bolt_LargeJSON-8               	    4423	    248910 ns/op	    9931 B/op	     102 allocs/op
BenchmarkFull_Bolt_LargeJSON-8               	    5739	    209611 ns/op	    9818 B/op	     102 allocs/op
BenchmarkFull_Bolt_LargeJSON-8               	    5196	    214424 ns/op	    9846 B/op	     102 allocs/op
BenchmarkFull_Gin_LargeJSON-8                	    3187	    370317 ns/op	  123152 B/op	    2103 allocs/op
BenchmarkFull_Gin_LargeJSON-8                	    3004	    415088 ns/op	  123365 B/op	    2103 allocs/op
BenchmarkFull_Gin_LargeJSON-8                	    2780	    456511 ns/op	  123223 B/op	    2103 allocs/op
BenchmarkFull_Gin_LargeJSON-8                	    2382	    422154 ns/op	  123189 B/op	    2103 allocs/op
BenchmarkFull_Gin_LargeJSON-8                	    3321	    406936 ns/op	  123112 B/op	    2103 allocs/op
BenchmarkFull_Echo_LargeJSON-8               	    3115	    363824 ns/op	   73830 B/op	    2102 allocs/op
BenchmarkFull_Echo_LargeJSON-8               	    2930	    344477 ns/op	   73835 B/op	    2102 allocs/op
BenchmarkFull_Echo_LargeJSON-8               	    3099	    427281 ns/op	   73895 B/op	    2102 allocs/op
BenchmarkFull_Echo_LargeJSON-8               	    2920	    398096 ns/op	   73836 B/op	    2102 allocs/op
BenchmarkFull_Echo_LargeJSON-8               	    3117	    376506 ns/op	   73862 B/op	    2102 allocs/op
BenchmarkFull_Fiber_LargeJSON-8              	    2893	    392815 ns/op	  186266 B/op	    2128 allocs/op
BenchmarkFull_Fiber_LargeJSON-8              	    3111	    455448 ns/op	  186605 B/op	    2128 allocs/op
BenchmarkFull_Fiber_LargeJSON-8              	    2665	    440989 ns/op	  186194 B/op	    2128 allocs/op
BenchmarkFull_Fiber_LargeJSON-8              	    2590	    416780 ns/op	  186662 B/op	    2128 allocs/op
BenchmarkFull_Fiber_LargeJSON-8              	    2678	    423781 ns/op	  186477 B/op	    2128 allocs/op
BenchmarkFull_Bolt_QueryParams-8             	 1273046	       962.8 ns/op	     129 B/op	       3 allocs/op
BenchmarkFull_Bolt_QueryParams-8             	 1000000	      1064 ns/op	     129 B/op	       3 allocs/op
BenchmarkFull_Bolt_QueryParams-8             	 1000000	      1093 ns/op	     128 B/op	       3 allocs/op
BenchmarkFull_Bolt_QueryParams-8             	 1212108	       944.1 ns/op	     128 B/op	       3 allocs/op
BenchmarkFull_Bolt_QueryParams-8             	 1256209	      1044 ns/op	     128 B/op	       3 allocs/op
BenchmarkFull_Gin_QueryParams-8              	  369219	      3101 ns/op	    1530 B/op	      19 allocs/op
BenchmarkFull_Gin_QueryParams-8              	  314306	      3278 ns/op	    1529 B/op	      19 allocs/op
BenchmarkFull_Gin_QueryParams-8              	  323780	      3396 ns/op	    1529 B/op	      19 allocs/op
BenchmarkFull_Gin_QueryParams-8              	  309840	      3424 ns/op	    1530 B/op	      19 allocs/op
